ts,node,srx,stx,etx,erx
1054,1,8,8,28,28
1054,2,4,4,24,24
1054,3,8,8,28,28
1054,4,8,8,27,28
1054,5,7,7,27,27
1054,6,5,5,23,25
1054,7,8,8,28,28
1054,8,8,8,28,28
1066,0,13,13,28,53
1066,1,8,8,28,28
1066,2,4,4,24,24
1066,3,9,9,28,29
1066,4,8,8,27,28
1066,5,7,7,27,27
1066,6,5,5,23,25
1066,7,8,8,28,28
1066,8,8,8,28,28
1068,0,13,13,28,53
1068,1,9,9,28,29
1068,2,4,4,24,24
1068,3,9,9,28,29
1068,4,8,8,27,28
1068,5,7,7,27,27
1068,6,5,5,23,25
1068,7,8,8,28,28
1068,8,8,8,28,28
1080,0,13,13,29,53
1080,1,9,9,28,29
1080,2,4,4,24,24
1080,3,9,9,28,29
1080,4,8,8,27,28
1080,5,7,7,27,27
1080,6,5,5,23,25
1080,7,8,8,28,28
1080,8,8,8,28,28
1090,0,13,13,29,53
1090,1,9,9,28,29
1090,2,4,4,24,24
1090,3,9,9,28,29
1090,4,8,8,28,28
1090,5,7,7,27,27
1090,6,5,5,23,25
1090,7,8,8,28,28
1090,8,8,8,28,28
1096,0,13,13,29,53
1096,1,9,9,28,29
1096,2,7,7,27,27
1096,3,9,9,28,29
1096,4,8,8,28,28
1096,5,7,7,27,27
1096,6,5,5,23,25
1096,7,8,8,28,28
1096,8,8,8,28,28
1112,0,13,13,29,53
1112,1,9,9,28,29
1112,2,7,7,27,27
1112,3,9,9,28,29
1112,4,8,8,28,28
1112,5,7,7,27,27
1112,6,5,5,23,25
1112,7,8,8,28,28
1112,8,9,9,29,29
1114,0,13,13,29,53
1114,1,9,9,28,29
1114,2,7,7,27,27
1114,3,9,9,28,29
1114,4,8,8,28,28
1114,5,9,9,29,29
1114,6,5,5,23,25
1114,7,8,8,28,28
1114,8,9,9,29,29
1115,0,13,13,29,53
1115,1,9,9,28,29
1115,2,7,7,27,27
1115,3,9,9,28,29
1115,4,8,8,28,28
1115,5,9,9,29,29
1115,6,5,5,23,25
1115,7,9,9,29,29
1115,8,9,9,29,29
1131,0,13,13,29,53
1131,1,9,9,28,29
1131,2,7,7,27,27
1131,3,9,9,28,29
1131,4,8,8,28,28
1131,5,9,9,29,29
1131,6,9,9,29,29
1131,7,9,9,29,29
1131,8,9,9,29,29
1134,0,13,13,29,53
1134,1,9,9,28,29
